,k
9055,4.193684513
9066,4.238294818
9077,4.282216162
9088,4.221070762
9099,4.106358547
9110,3.93876848
9121,3.717611598
9132,3.500588489
9139,2.676470588
9146,3.441176471
9153,3.823529412
9160,4.088235294
9167,4.264705882
9174,4.382352941
9181,4.429411765
9188,4.394117647
9195,4.252941176
9202,4.041176471
9210,3.723529412
9218,3.405882353
9229,2.492063492
9240,3.294217687
9251,3.62585034
9262,3.886621315
9273,4.075396825
9284,4.193877551
9295,4.242063492
9306,4.256235828
9317,4.166099773
9328,3.971655329
9339,3.741496599
9350,3.475056689
9358,2.5
9366,3.264705882
9374,3.676470588
9382,3.941176471
9390,4.176470588
9398,4.294117647
9406,4.323529412
9414,4.323529412
9422,4.176470588
9430,3.941176471
9439,3.647058824
9449,3.294117647
9460,0.781954887
9471,1.249373434
9482,1.612781955
9493,2.027568922
9504,2.389724311
9515,2.647869674
9526,3.00877193
9537,3.315789474
9548,3.675438596
9559,3.981203008
9570,4.23433584
9581,4.538847118
9592,4.739348371
9603,4.884711779
9614,4.976190476
9625,5.120300752
9636,5.160401003
9647,5.149122807
9658,0.983050847
9669,1.762711864
9680,2.237288136
9691,2.644067797
9702,3.016949153
9713,3.322033898
9724,3.627118644
9735,3.966101695
9746,4.237288136
9757,4.440677966
9768,4.644067797
9779,4.779661017
9790,4.840677966
9801,4.881355932
9812,4.881355932
9823,4.840677966
9834,4.759322034
9843,4.637288136
9854,2.064516129
9865,3.0
9876,3.35483871
9887,3.612903226
9898,3.774193548
9909,3.903225806
9920,4.0
9931,4.0
9942,3.935483871
9953,3.774193548
9964,3.548387097
9975,3.290322581
9986,2.203703704
9997,3.041446208
10008,3.394179894
10019,3.636684303
10030,3.835097002
10041,3.967372134
10052,4.0335097
10063,4.0335097
10071,3.967372134
10075,0.087301587
10086,3.791005291
10097,3.570546737
10103,3.328042328
10109,0.26366843
10120,1.254524451
10131,1.53715826
10142,1.819792068
10153,2.141701964
10164,2.504428186
10175,2.825567963
10186,3.14593762
10197,3.506353485
10208,3.784366577
10219,4.062379669
10230,4.339622642
10241,4.575279168
10252,4.769349249
10263,4.921832884
10274,4.953407778
10285,2.203282465
10296,3.076878779
10307,3.444860351
10318,3.740858048
10329,3.966023611
10340,4.12035704
10351,4.168730204
10362,4.183702851
10373,4.129570976
10384,3.936078318
10395,3.741433919
10406,3.475957386
10415,2.506340478
10424,3.293457524
10433,3.700370329
10442,3.973740321
10452,4.158680283
10462,4.277185501
10472,4.351924588
10483,4.339131411
10494,4.217035125
10505,4.007631018
10516,3.70979688
10527,3.433509146
10538,1.387755102
10549,1.632653061
10560,1.87755102
10571,2.163265306
10582,2.408163265
10593,2.693877551
10604,2.93877551
10615,3.183673469
10626,3.469387755
10637,3.673469388
10648,3.87755102
10659,4.081632653
10670,4.285714286
10681,0.941986755
10692,1.714966887
10703,2.117615894
10714,2.553112583
10725,2.88794702
10736,3.18781457
10747,3.487682119
10758,3.786490066
10769,4.016953642
10780,4.246357616
10791,4.374039735
10802,4.467284768
10813,4.526622517
10824,4.517086093
10835,4.438675497
10846,4.359735099
10857,4.21192053
10868,3.998940397
10911,2.623810033
10922,3.853246337
10933,4.814846508
10944,5.558669376
10955,6.057974115
10966,6.289442721
10977,6.400470639
10988,6.366242379
10995,6.137982672
11000,5.860091988
11011,4.882749326
11022,5.938005391
11033,7.431940701
11044,8.824797844
11055,9.85916442
11066,10.67924528
11077,11.32210243
11088,11.82681941
11095,12.11590296
11100,12.1893531
11111,1.877993771
11122,2.763183332
11133,3.274406616
11144,3.715390398
11155,4.009451187
11166,4.131887015
11177,4.158522178
11188,4.039093545
11195,3.848136613
11200,3.581355386
11211,3.879891119
11222,5.57332426
11233,7.125552909
11244,8.321537938
11254,9.375637972
11263,10.03572644
11268,2.890438925
11277,10.51854372
11287,10.89690371
11292,2.787002382
11299,11.06022457
11304,11.00816604
11315,3.023255814
11326,4.465116279
11337,5.534883721
11348,6.372093023
11359,6.930232558
11370,7.255813953
11381,7.418604651
11392,7.395348837
11399,7.23255814
11404,6.953488372
11415,3.892477688
11426,5.628984275
11437,7.078623034
11446,8.201019975
11457,8.997450064
11461,1.368040799
11468,9.467913302
11473,2.164895878
11479,9.814279643
11485,3.000849979
11491,9.953676158
11497,2.854653634
11503,9.930301742
11510,9.784955376
11521,2.267253715
11532,3.315354981
11543,4.033681893
11554,4.652504128
11565,5.018822234
11576,5.208145294
11587,5.247110622
11598,5.186351128
11605,4.948376445
11610,4.685085305
11621,3.563636364
11632,5.163636364
11643,6.327272727
11654,7.309090909
11665,8.0
11676,8.436363636
11687,8.654545455
11698,8.763636364
11705,8.690909091
11710,8.4
11719,12.08634051
11720,13.11881329
11726,11.16981132
11731,15.39622642
11736,15.01886792
11741,13.35849057
11746,10.83333333
11751,14.62962963
11756,14.25925926
11761,13.42592593
11766,10.92592593
11771,13.14814815
11776,12.87037037
11781,11.75925926
11786,9.777777778
11791,12.2962963
11796,12.51851852
11801,11.25925926
11806,7.851851852
11811,9.481481481
11816,8.518518519
11821,7.851851852
11826,9.407407407
11831,11.11111111
11836,10.66666667
11841,10.22222222
11846,12.87037037
11851,16.66666667
11856,18.05555556
11861,16.57407407
11866,11.48148148
11871,15.64814815
11876,16.2962963
11881,15.37037037
11903,10.909
11904,12.942
11905,10.896
11906,8.511
11907,4.935
11942,2.739
11943,7.613
11944,9.764
11945,8.688
11946,6.466
11947,3.246
11984,0.117
11985,2.767
11986,5.828
11987,7.377
11988,6.195
11989,3.242
12003,6.80952381
12006,7.84292328
12009,7.88106261
12012,7.490520282
12015,6.404872134
12131,2.7
12132,6.71
12133,9.03
12134,10.89
12135,1.52
12136,4.06
12137,6.16
12138,7.97
12139,7.92
12140,10.53
12141,12.09
12142,13.25
12143,4.45
12144,6.78
12145,8.28
12146,9.57
12147,10.15
12148,12.0
12149,12.37
12150,12.9
12151,5.58
12152,7.73
12153,8.97
12154,8.65
12155,10.71
12156,11.2
12157,10.93
12158,11.8
12159,5.72
12160,7.51
12161,7.41
12162,7.95
