LCE
0.699
0.699
0.699
0.712
0.745
0.745
0.777
0.788
0.824
0.854
0.854
0.886
0.921
0.924
1.013
1.046
1.076
1.081
1.085
1.108
1.108
1.143
1.155
1.194
1.215
1.222
1.225
1.244
1.252
1.260
1.268
1.276
1.292
1.301
1.301
1.301
1.301
1.301
1.319
1.333
1.337
1.355
1.367
1.373
1.377
1.398
1.410
1.444
1.456
1.456
1.488
1.489
1.495
1.498
1.523
1.523
1.523
1.523
1.523
1.538
1.544
1.559
1.561
1.569
1.569
1.569
1.587
1.590
1.602
1.602
1.602
1.620
1.620
1.629
1.633
1.638
1.638
1.646
1.658
1.672
1.678
1.678
1.678
1.699
1.735
1.745
1.745
1.745
1.745
1.770
1.780
1.796
1.824
1.824
1.824
1.824
1.854
1.854
1.854
1.886
1.886
1.903
1.921
1.921
1.921
1.959
1.959
1.967
1.991
2.000
2.000
2.000
2.018
2.046
2.046
2.046
2.046
2.051
2.056
2.097
2.097
2.097
2.097
2.097
2.097
2.108
2.155
2.155
2.155
2.155
2.155
2.155
2.155
2.155
2.155
2.208
2.222
2.222
2.222
2.222
2.222
2.268
2.301
2.301
2.301
2.301
2.301
2.301
2.301
2.301
